transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers
01/31/2024 08:00:00 PM,SIM4,metrocard,Metrocard - Full Fare,15,1
01/31/2024 11:00:00 PM,Q1,omny,OMNY - Full Fare,5,2
01/31/2024 04:00:00 AM,B9,metrocard,Metrocard - Unlimited 7-Day,2,0
01/31/2024 04:00:00 AM,S78,metrocard,Metrocard - Other,1,0
01/31/2024 05:00:00 AM,B42,metrocard,Metrocard - Students,1,0
01/31/2024 06:00:00 AM,BX13,metrocard,Metrocard - Seniors & Disability,9,1
01/31/2024 06:00:00 AM,M79,metrocard,Metrocard - Full Fare,27,21
01/31/2024 07:00:00 AM,S93,omny,OMNY - Full Fare,62,15
01/31/2024 11:00:00 AM,M34,metrocard,Metrocard - Unlimited 30-Day,52,0
01/31/2024 12:00:00 PM,B4,metrocard,Metrocard - Full Fare,23,5
01/31/2024 12:00:00 PM,B63,omny,OMNY - Seniors & Disability,6,1
01/31/2024 12:00:00 PM,Q5,metrocard,Metrocard - Students,6,4
01/31/2024 03:00:00 PM,Q8,metrocard,Metrocard - Other,10,0
01/31/2024 04:00:00 PM,B24,omny,OMNY - Seniors & Disability,1,0
01/31/2024 05:00:00 PM,M20,omny,OMNY - Seniors & Disability,1,0
01/31/2024 06:00:00 PM,BX40,metrocard,Metrocard - Students,6,1
01/31/2024 10:00:00 PM,B8,metrocard,Metrocard - Fair Fare,5,1
01/31/2024 05:00:00 AM,BX19,metrocard,Metrocard - Seniors & Disability,7,4
01/31/2024 07:00:00 AM,SIM4,omny,OMNY - Seniors & Disability,1,0
01/31/2024 08:00:00 AM,M96,metrocard,Metrocard - Other,38,6
01/31/2024 12:00:00 PM,B25,metrocard,Metrocard - Students,5,1
01/31/2024 01:00:00 PM,BX15,metrocard,Metrocard - Fair Fare,23,4
01/31/2024 06:00:00 PM,M42,metrocard,Metrocard - Unlimited 30-Day,66,0
01/31/2024 07:00:00 PM,BX39,metrocard,Metrocard - Unlimited 7-Day,31,0
01/31/2024 08:00:00 PM,BX9,omny,OMNY - Seniors & Disability,1,1
01/31/2024 09:00:00 PM,M3,omny,OMNY - Full Fare,58,7
01/31/2024 01:00:00 AM,Q20,omny,OMNY - Full Fare,2,2
01/31/2024 05:00:00 AM,M98,metrocard,Metrocard - Full Fare,4,0
01/31/2024 07:00:00 AM,BX3,metrocard,Metrocard - Unlimited 30-Day,56,0
01/31/2024 07:00:00 AM,X63,omny,OMNY - Full Fare,67,4
01/31/2024 08:00:00 AM,Q7,metrocard,Metrocard - Unlimited 7-Day,19,0
01/31/2024 09:00:00 AM,Unknown Route,omny,OMNY - Full Fare,312,72
01/31/2024 10:00:00 AM,Q25,metrocard,Metrocard - Fair Fare,37,3
01/31/2024 10:00:00 AM,S55,metrocard,Metrocard - Fair Fare,1,0
01/31/2024 12:00:00 PM,B16,omny,OMNY - Full Fare,42,4
01/31/2024 12:00:00 PM,M14,metrocard,Metrocard - Unlimited 7-Day,64,0
01/31/2024 01:00:00 PM,B31,metrocard,Metrocard - Seniors & Disability,7,2
01/31/2024 05:00:00 PM,B14,metrocard,Metrocard - Unlimited 30-Day,20,0
01/31/2024 11:00:00 PM,NIS,metrocard,Metrocard - Seniors & Disability,6,0
01/31/2024 11:00:00 PM,Q49,metrocard,Metrocard - Other,3,0
01/31/2024 05:00:00 AM,B9,metrocard,Metrocard - Fair Fare,9,0
01/31/2024 07:00:00 AM,B82,metrocard,Metrocard - Unlimited 30-Day,290,0
01/31/2024 09:00:00 AM,BX1,metrocard,Metrocard - Fair Fare,31,8
01/31/2024 11:00:00 AM,B17,metrocard,Metrocard - Seniors & Disability,35,9
01/31/2024 01:00:00 PM,B52,omny,OMNY - Full Fare,130,22
01/31/2024 02:00:00 PM,BX25,metrocard,Metrocard - Other,2,1
01/31/2024 02:00:00 PM,BX4,metrocard,Metrocard - Students,15,0
01/31/2024 02:00:00 PM,Q29,omny,OMNY - Full Fare,86,33
01/31/2024 05:00:00 PM,B2,metrocard,Metrocard - Students,6,4
01/31/2024 06:00:00 PM,BXM3,omny,OMNY - Full Fare,41,2
01/31/2024 09:00:00 PM,BX12,metrocard,Metrocard - Other,11,1
01/31/2024 09:00:00 PM,Q54,metrocard,Metrocard - Unlimited 30-Day,15,0
01/31/2024 09:00:00 PM,S78,metrocard,Metrocard - Other,1,0
01/31/2024 01:00:00 AM,M2,metrocard,Metrocard - Unlimited 30-Day,1,0
01/31/2024 04:00:00 AM,B36,metrocard,Metrocard - Other,1,0
01/31/2024 05:00:00 AM,NIS,metrocard,Metrocard - Other,3,0
01/31/2024 10:00:00 AM,B42,metrocard,Metrocard - Seniors & Disability,8,1
01/31/2024 12:00:00 PM,B69,metrocard,Metrocard - Fair Fare,5,2
01/31/2024 12:00:00 PM,Q60,metrocard,Metrocard - Unlimited 30-Day,54,0
01/31/2024 02:00:00 PM,BX41,metrocard,Metrocard - Fair Fare,48,1
01/31/2024 03:00:00 PM,BX33,metrocard,Metrocard - Other,4,0
01/31/2024 05:00:00 PM,M5,metrocard,Metrocard - Unlimited 30-Day,50,0
01/31/2024 09:00:00 PM,B7,metrocard,Metrocard - Unlimited 30-Day,5,0
01/31/2024 10:00:00 PM,S79,metrocard,Metrocard - Seniors & Disability,1,1
01/31/2024 02:00:00 AM,Q2,metrocard,Metrocard - Seniors & Disability,1,0
01/31/2024 05:00:00 AM,Q38,metrocard,Metrocard - Other,1,0
01/31/2024 07:00:00 AM,Q37,metrocard,Metrocard - Other,16,0
01/31/2024 10:00:00 AM,Q52/53,metrocard,Metrocard - Unlimited 7-Day,55,0
01/31/2024 12:00:00 PM,BX27,metrocard,Metrocard - Other,5,2
01/31/2024 01:00:00 PM,M1,metrocard,Metrocard - Seniors & Disability,110,29
01/31/2024 02:00:00 PM,Q7,metrocard,Metrocard - Fair Fare,5,0
01/31/2024 03:00:00 PM,B63,metrocard,Metrocard - Full Fare,84,26
01/31/2024 04:00:00 PM,QM32,metrocard,Metrocard - Other,3,0
01/31/2024 05:00:00 PM,Q33,metrocard,Metrocard - Unlimited 30-Day,37,0
01/31/2024 07:00:00 PM,S48,metrocard,Metrocard - Fair Fare,1,0
01/31/2024 09:00:00 PM,M72,metrocard,Metrocard - Unlimited 7-Day,3,0
01/31/2024 03:00:00 AM,Q85,metrocard,Metrocard - Unlimited 7-Day,7,0
01/31/2024 07:00:00 AM,BX13,metrocard,Metrocard - Unlimited 7-Day,54,0
01/31/2024 10:00:00 AM,BX34,metrocard,Metrocard - Seniors & Disability,6,2
01/31/2024 10:00:00 AM,M57,metrocard,Metrocard - Full Fare,25,11
01/31/2024 11:00:00 AM,M1,metrocard,Metrocard - Unlimited 7-Day,27,0
01/31/2024 01:00:00 PM,Q27,metrocard,Metrocard - Fair Fare,37,5
01/31/2024 04:00:00 PM,S62,metrocard,Metrocard - Unlimited 30-Day,2,0
01/31/2024 05:00:00 PM,B65,metrocard,Metrocard - Seniors & Disability,12,3
01/31/2024 08:00:00 PM,Q104,metrocard,Metrocard - Full Fare,1,1
01/31/2024 09:00:00 PM,B52,metrocard,Metrocard - Unlimited 7-Day,14,0
01/31/2024 09:00:00 PM,Q34,metrocard,Metrocard - Seniors & Disability,4,2
01/31/2024 05:00:00 AM,M72,metrocard,Metrocard - Unlimited 7-Day,1,0
01/31/2024 05:00:00 AM,Q76,metrocard,Metrocard - Unlimited 30-Day,4,0
01/31/2024 06:00:00 AM,BM3,metrocard,Metrocard - Full Fare,23,0
01/31/2024 06:00:00 AM,M66,metrocard,Metrocard - Full Fare,39,30
01/31/2024 01:00:00 PM,B83,metrocard,Metrocard - Seniors & Disability,37,10
01/31/2024 01:00:00 PM,BM4,metrocard,Metrocard - Full Fare,3,0
01/31/2024 01:00:00 PM,BX2,metrocard,Metrocard - Fair Fare,39,3
01/31/2024 05:00:00 PM,S54,metrocard,Metrocard - Other,3,1
02/07/2024 04:00:00 AM,Q101,omny,OMNY - Full Fare,6,1
02/08/2024 08:00:00 AM,Q24,omny,OMNY - Full Fare,117,20
01/31/2024 06:00:00 AM,B14,metrocard,Metrocard - Students,8,1
01/31/2024 11:00:00 AM,M102,metrocard,Metrocard - Unlimited 7-Day,35,0
01/31/2024 11:00:00 AM,M50,metrocard,Metrocard - Full Fare,7,2
01/31/2024 01:00:00 PM,M22,omny,OMNY - Seniors & Disability,3,0
01/31/2024 03:00:00 PM,M3,metrocard,Metrocard - Unlimited 30-Day,79,0
01/31/2024 03:00:00 PM,Q16,metrocard,Metrocard - Other,6,0
01/31/2024 05:00:00 PM,S51,metrocard,Metrocard - Fair Fare,9,1
01/31/2024 06:00:00 PM,BX23,omny,OMNY - Full Fare,44,26
01/31/2024 06:00:00 PM,QM6,omny,OMNY - Full Fare,43,7
01/31/2024 11:00:00 PM,Q2,metrocard,Metrocard - Unlimited 30-Day,11,0
01/31/2024 04:00:00 AM,BX21,metrocard,Metrocard - Fair Fare,5,0
01/31/2024 06:00:00 AM,BX30,metrocard,Metrocard - Unlimited 7-Day,18,0
01/31/2024 06:00:00 AM,BXM10,metrocard,Metrocard - Other,5,0
01/31/2024 11:00:00 AM,S51,metrocard,Metrocard - Students,3,0
01/31/2024 04:00:00 PM,X27,omny,OMNY - Seniors & Disability,1,1
01/31/2024 07:00:00 PM,BX32,omny,OMNY - Full Fare,7,1
01/31/2024 07:00:00 PM,BX36,metrocard,Metrocard - Unlimited 7-Day,54,0
01/31/2024 07:00:00 PM,M31,metrocard,Metrocard - Students,10,1
